No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
1220,Airmeet,Bengaluru,Unknown,India,Asia,75,25-05-2023,30,250,175,Marketing,Series B,50,2023
1221,Project44,Chicago,Illinois,USA,North America,130,26-05-2023,10,1300,1170,Logistics,Unknown,817,2023
1222,Evolve,Denver,Colorado,USA,North America,164,29-05-2023,14,1171,1007,Travel,Series F,224,2023
1223,Taxfix,Berlin,Berlin,Germany,Europe,120,30-05-2023,20,600,480,Finance,Series D,330,2023
1224,Away,New York City,New York,USA,North America,22,31-05-2023,8,275,253,Retail,Series D,181,2023
1225,Mux,San Francisco,California,USA,North America,40,31-05-2023,30,133,93,Infrastructure,Series D,173,2023
1226,Vendr,Boston,Massachusetts,USA,North America,100,31-05-2023,25,400,300,Other,Series B,216,2023
1227,Zendesk,San Francisco,California,USA,North America,320,31-05-2023,8,4000,3680,Support,Acquired,85,2023
1228,ZipRecruiter,Los Angeles,California,USA,North America,270,31-05-2023,20,1350,1080,HR,Post-IPO,769,2023
1229,Outbrain,New York City,New York,USA,North America,90,01-06-2023,10,900,810,Marketing,Post-IPO,394,2023
1230,ZoomInfo,Vancouver,Unknown,Canada,North America,120,02-06-2023,3,4000,3880,Sales,Post-IPO,7,2023
1231,Spotify,Stockholm,Unknown,Sweden,Europe,200,05-06-2023,2,10000,9800,Media,Post-IPO,2100,2023
1232,Dragos,Baltimore,Maryland,USA,North America,50,06-06-2023,9,556,506,Security,Series D,364,2023
1233,Edgio,Phoenix,Arizona,USA,North America,134,06-06-2023,12,1117,983,Infrastructure,Post-IPO,462,2023
1234,Linktree,Melbourne,Unknown,Australia,Oceana,60,06-06-2023,27,222,162,Consumer,Unknown,165,2023
1235,Reddit,San Francisco,California,USA,North America,90,06-06-2023,5,1800,1710,Consumer,Series F,1300,2023
1236,Cityblock Health,New York City,New York,USA,North America,155,08-06-2023,12,1292,1137,Healthcare,Series D,891,2023
1237,Highspot,Seattle,Washington,USA,North America,140,08-06-2023,15,933,793,Sales,Series F,644,2023
1238,23andMe,San Francisco,California,USA,North America,75,09-06-2023,9,833,758,Healthcare,Post-IPO,1100,2023
1239,Expel,Washington DC,District of Columbia,USA,North America,60,09-06-2023,10,600,540,Security,Series E,288,2023
1240,Trybe,Sao Paulo,Unknown,Brazil,South America,128,09-06-2023,35,366,238,Education,Series B,40,2023
1241,TaxBit,San Francisco,California,USA,North America,80,11-06-2023,40,200,120,Crypto,Unknown,253,2023
1242,Chegg,Santa Clara,California,USA,North America,80,12-06-2023,4,2000,1920,Education,Post-IPO,227,2023
1243,GoCardless,London,Unknown,UK,Europe,150,12-06-2023,17,882,732,Finance,Series G,529,2023
1244,Grubhub,San Francisco,California,USA,North America,400,12-06-2023,15,2667,2267,Food,Acquired,284,2023
1245,Pendo,Raleigh,North Carolina,USA,North America,100,12-06-2023,12,833,733,Product,Series F,469,2023
1246,Bitwise,Fresno,California,USA,North America,900,14-06-2023,100,900,0,Crypto,Series B,84,2023
1247,Olo,New York City,New York,USA,North America,81,14-06-2023,11,736,655,Food,Post-IPO,184,2023
1248,Sonos,New York City,New York,USA,North America,130,14-06-2023,7,1857,1727,Consumer,Post-IPO,455,2023
1249,TrueCar,Los Angeles,California,USA,North America,102,14-06-2023,24,425,323,Transportation,Post-IPO,340,2023
1250,CareRev,Los Angeles,California,USA,North America,100,15-06-2023,33,303,203,Healthcare,Series A,51,2023
1251,FrontRow,Bengaluru,Unknown,India,Asia,39,15-06-2023,90,43,4,Education,Series A,17,2023
1252,Pilot,San Francisco,California,USA,North America,45,16-06-2023,13,346,301,Finance,Unknown,116,2023
1253,Mojocare,Bengaluru,Unknown,India,Asia,170,17-06-2023,80,213,43,Healthcare,Series A,24,2023
1254,Chingari,Bengaluru,Unknown,India,Asia,48,19-06-2023,20,240,192,Media,Unknown,88,2023
1255,Grab,Singapore,Unknown,Singapore,Asia,1000,20-06-2023,11,9091,8091,Transportation,Post-IPO,16500,2023
1256,Ritual,Toronto,Unknown,Canada,North America,38,21-06-2023,40,95,57,Food,Series C,134,2023
1257,Uber,San Francisco,California,USA,North America,200,21-06-2023,1,20000,19800,Transportation,Post-IPO,25200,2023
1258,Convoy,Seattle,Washington,USA,North America,30,26-06-2023,5,600,570,Logistics,Series E,1100,2023
1259,Robinhood,Menlo Park,California,USA,North America,150,26-06-2023,7,2143,1993,Finance,Post-IPO,5600,2023
1260,New Relic,San Francisco,California,USA,North America,255,27-06-2023,10,2550,2295,Infrastructure,Post-IPO,214,2023
1261,ClickUp,San Diego,California,USA,North America,90,28-06-2023,10,900,810,Other,Series C,537,2023
1262,Plex,Campbell,California,USA,North America,37,28-06-2023,20,185,148,Media,Unknown,81,2023
1263,Artsy,New York City,New York,USA,North America,35,29-06-2023,15,233,198,Retail,Series D,100,2023
1264,Headspace,Los Angeles,California,USA,North America,181,29-06-2023,15,1207,1026,Healthcare,Unknown,216,2023
1265,Torii,Ra'anana,Unknown,Israel,Asia,28,29-06-2023,30,93,65,Other,Series B,65,2023
1266,Zip,Sydney,Unknown,Australia,Oceana,300,02-07-2023,20,1500,1200,Finance,Post-IPO,896,2023
1267,Highsnobiety,Berlin,Berlin,Germany,Europe,24,03-07-2023,10,240,216,Media,Acquired,8,2023
1268,FNZ,London,Unknown,UK,Europe,1000,06-07-2023,15,6667,5667,Finance,Private Equity,Null,2023
1269,Perfect Day,Berkeley,California,USA,North America,134,06-07-2023,15,893,759,Food,Series D,711,2023
1270,TytoCare,New York City,New York,USA,North America,20,06-07-2023,10,200,180,Healthcare,Series D,156,2023
1271,FrontRow,Bengaluru,Unknown,India,Asia,4,10-07-2023,100,4,0,Education,Series A,17,2023
1272,Matterport,Sunnyvale,California,USA,North America,170,11-07-2023,30,567,397,Data,Post-IPO,409,2023
1273,Sisense,New York City,New York,USA,North America,100,11-07-2023,15,667,567,Data,Series F,274,2023
1274,WayCool,Chennai,Unknown,India,Asia,300,11-07-2023,12,2500,2200,Food,Unknown,363,2023
1275,DeepVerge,Dublin,Unknown,Ireland,Europe,50,12-07-2023,100,50,0,Healthcare,Post-IPO,20,2023
1276,Freightos,Miami,Florida,USA,North America,50,12-07-2023,13,385,335,Logistics,Post-IPO,118,2023
1277,AudioCodes,Tel Aviv,Unknown,Israel,Asia,80,13-07-2023,6,1333,1253,Other,Post-IPO,91,2023
1278,Deepwatch,Tampa Bay,Florida,USA,North America,30,13-07-2023,7,429,399,Security,Series C,256,2023
1279,PayScale,Seattle,Washington,USA,North America,14,14-07-2023,2,700,686,HR,Acquired,33,2023
1280,Sarcos,Salt Lake City,Utah,USA,North America,75,17-07-2023,25,300,225,Aerospace,Post-IPO,316,2023
1281,AgentSync,Denver,Colorado,USA,North America,67,19-07-2023,24,279,212,Finance,Series B,111,2023
1282,Inspirato,Denver,Colorado,USA,North America,50,19-07-2023,6,833,783,Travel,Post-IPO,179,2023
1283,Tilia,San Francisco,California,USA,North America,28,19-07-2023,32,88,60,Finance,Unknown,32,2023
1284,Deep Instict,New York City,New York,USA,North America,46,25-07-2023,15,307,261,Security,Unknown,322,2023
1285,Calendly,Atlanta,Georgia,USA,North America,60,26-07-2023,10,600,540,Other,Series B,351,2023
1286,Copia,Nairobi,Unknown,Kenya,Africa,350,26-07-2023,25,1400,1050,Retail,Series C,103,2023
1287,Figure,San Francisco,California,USA,North America,90,26-07-2023,20,450,360,Crypto,Unknown,1500,2023
1288,Milkbasket,Gurugram,Unknown,India,Asia,400,27-07-2023,67,597,197,Food,Acquired,39,2023
1289,Point,Palo Alto,California,USA,North America,61,27-07-2023,28,218,157,Real Estate,Series C,149,2023
1290,Verbit,New York City,New York,USA,North America,60,27-07-2023,6,1000,940,Data,Series E,569,2023
1291,Wish,San Francisco,California,USA,North America,255,27-07-2023,34,750,495,Retail,Post-IPO,1600,2023
1292,Eroad,Auckland,Unknown,New Zealand,Oceana,200,28-07-2023,31,645,445,Transportation,Unknown,46,2023
1293,Kape Technologies,London,Unknown,UK,Europe,200,30-07-2023,30,667,467,Security,Post-IPO,188,2023
1294,Fable,Toronto,Unknown,Canada,North America,13,31-07-2023,9,144,131,Other,Series A,12,2023
1295,Archipelago,San Francisco,California,USA,North America,40,01-08-2023,30,133,93,Real Estate,Series B,57,2023
1296,Paper,Montreal,Unknown,Canada,North America,106,01-08-2023,4,2650,2544,Education,Series D,389,2023
1297,Planet,San Francisco,California,USA,North America,117,01-08-2023,10,1170,1053,Aerospace,Post-IPO,574,2023
1298,Vesttoo,Tel Aviv,Unknown,Israel,Asia,150,01-08-2023,75,200,50,Finance,Series C,110,2023
1299,Augury,New York City,New York,USA,North America,70,02-08-2023,18,389,319,Manufacturing,Series E,274,2023
1300,BetterUp,San Francisco,California,USA,North America,100,02-08-2023,16,625,525,HR,Series E,567,2023
1301,Gupy,Sao Paulo,Unknown,Brazil,South America,58,02-08-2023,8,725,667,HR,Series B,105,2023
1302,Spinny,Gurugram,Unknown,India,Asia,300,02-08-2023,5,6000,5700,Transportation,Series E,513,2023
1303,Tekion,Bengaluru,Unknown,India,Asia,300,02-08-2023,10,3000,2700,Other,Series D,435,2023
1304,Discord,San Francisco,California,USA,North America,37,03-08-2023,4,925,888,Consumer,Series H,Null,2023
1305,Top Hat,Toronto,Unknown,Canada,North America,42,04-08-2023,7,600,558,Education,Series E,234,2023
1306,23andMe,San Francisco,California,USA,North America,71,08-08-2023,11,645,574,Healthcare,Post-IPO,1100,2023
1307,Doximity,San Francisco,California,USA,North America,100,08-08-2023,10,1000,900,Healthcare,Post-IPO,82,2023
1308,Rapid7,Boston,Massachusetts,USA,North America,470,08-08-2023,18,2611,2141,Security,Post-IPO,89,2023
1309,Thoughtworks,Chicago,Illinois,USA,North America,579,08-08-2023,5,11580,11001,Other,Post-IPO,748,2023
1310,Blend,San Francisco,California,USA,North America,150,09-08-2023,19,789,639,Finance,Post-IPO,665,2023
1311,Dealtale,Tel Aviv,Unknown,Israel,Asia,70,09-08-2023,100,70,0,Sales,Acquired,2,2023
1312,SecureWorks,Atlanta,Georgia,USA,North America,300,14-08-2023,15,2000,1700,Security,Post-IPO,83,2023
1313,AppFolio,Santa Barbara,California,USA,North America,149,17-08-2023,9,1656,1507,Real Estate,Post-IPO,30,2023
1314,StreamElements,Tel Aviv,Unknown,Israel,Asia,60,17-08-2023,35,171,111,Media,Series B,111,2023
1315,Twiga,Nairobi,Unknown,Kenya,Africa,283,20-08-2023,33,858,575,Food,Series C,157,2023
1316,Getir,London,Unknown,UK,Europe,2500,22-08-2023,11,22727,20227,Food,Series E,1800,2023
1317,Atlas,Chicago,Illinois,USA,North America,150,23-08-2023,30,500,350,HR,Series B,220,2023
1318,BlackLine,Los Angeles,California,USA,North America,95,23-08-2023,5,1900,1805,Finance,Post-IPO,220,2023
1319,Veriff,Tallinn,Unknown,Estonia,Europe,101,23-08-2023,21,481,380,Security,Series C,192,2023
1320,Captiv8,San Francisco,California,USA,North America,8,24-08-2023,3,267,259,Marketing,Unknown,4,2023
1321,Zebra Technologies,Chicago,Illinois,USA,North America,700,28-08-2023,7,10000,9300,Manufacturing,Post-IPO,Null,2023
1322,Huma,London,Unknown,UK,Europe,45,30-08-2023,10,450,405,Healthcare,Unknown,217,2023
1323,Kenko Health,Mumbai,Unknown,India,Asia,50,30-08-2023,20,250,200,Healthcare,Series A,14,2023
1324,Omuni,Bengaluru,Unknown,India,Asia,60,30-08-2023,35,171,111,Retail,Acquired,10,2023
1325,Zeplin,San Francisco,California,USA,North America,37,30-08-2023,35,106,69,Product,Seed,1,2023
1326,Nexar,New York City,New York,USA,North America,17,04-09-2023,14,121,104,Transportation,Series D,149,2023
1327,Absci,Portland,Oregon,USA,North America,30,05-09-2023,15,200,170,Healthcare,Post-IPO,238,2024
1328,Hodinkee,New York City,New York,USA,North America,24,05-09-2023,20,120,96,Retail,Seed,40,2023
1329,Roku,San Jose,California,USA,North America,360,06-09-2023,10,3600,3240,Media,Post-IPO,208,2023
1330,Drift,Boston,Massachusetts,USA,North America,100,07-09-2023,25,400,300,Marketing,Acquired,107,2023
1331,Chargebee,North Bethesda,California,USA,North America,100,11-09-2023,10,1000,900,Finance,Series H,468,2023
1332,Grabango,Berkeley,California,USA,North America,34,11-09-2023,40,85,51,Food,Unknown,94,2023
1333,At-Bay,San Francisco,California,USA,North America,27,12-09-2023,9,300,273,Security,Unknown,296,2023
1334,Evolve,Denver,Colorado,USA,North America,175,12-09-2023,20,875,700,Travel,Series F,224,2023
1335,Homeday,Berlin,Berlin,Germany,Europe,40,12-09-2023,20,200,160,Real Estate,Unknown,71,2023
1336,Paper,Montreal,Unknown,Canada,North America,87,12-09-2023,3,2900,2813,Education,Series D,389,2023
1337,Airtable,San Francisco,California,USA,North America,237,14-09-2023,27,878,641,Product,Series F,1400,2023
1338,VideoAmp,Los Angeles,California,USA,North America,40,14-09-2023,10,400,360,Marketing,Series F,456,2023
1339,7shifts,Saskatoon,Unknown,Canada,North America,30,15-09-2023,7,429,399,Food,Series C,131,2023
1340,Lucid Software,Salt Lake City,Utah,USA,North America,75,25-09-2023,7,1071,996,Other,Series E,170,2023
1341,Dunzo,Bengaluru,Unknown,India,Asia,150,26-09-2023,30,500,350,Food,Unknown,458,2023
